season,rows,fg_structural_nulls,fg3_structural_nulls,ft_structural_nulls,fg_pct_nulls,fg3_pct_nulls,ft_pct_nulls
2010-11,338,0.0,35.0,0.0,0.0,35.0,0.0
2011-12,325,0.0,33.0,0.0,0.0,33.0,0.0
2012-13,337,0.0,25.0,0.0,0.0,25.0,0.0
2013-14,335,0.0,26.0,0.0,0.0,26.0,0.0
2014-15,361,0.0,28.0,0.0,0.0,28.0,0.0
2015-16,348,0.0,18.0,0.0,0.0,18.0,0.0
2016-17,350,0.0,13.0,0.0,0.0,13.0,0.0
2017-18,350,0.0,12.0,0.0,0.0,12.0,0.0
2018-19,356,0.0,12.0,0.0,0.0,12.0,0.0
2019-20,329,0.0,9.0,0.0,0.0,9.0,0.0
2020-21,363,0.0,5.0,0.0,0.0,5.0,0.0
2021-22,371,0.0,8.0,0.0,0.0,8.0,0.0
2022-23,364,0.0,5.0,0.0,0.0,5.0,0.0
2023-24,353,0.0,8.0,0.0,0.0,8.0,0.0
2024-25,368,0.0,8.0,0.0,0.0,8.0,0.0
