table,column_name,column_type
Players,personId,BIGINT
Players,firstName,VARCHAR
Players,lastName,VARCHAR
Players,birthdate,DATE
Players,country,VARCHAR
Players,height,DOUBLE
Players,bodyWeight,DOUBLE
Players,draftYear,DOUBLE
Players,draftRound,DOUBLE
Players,draftNumber,DOUBLE
Players,guard,BOOLEAN
Players,forward,BOOLEAN
Players,center,BOOLEAN
Players,bio_data_source,VARCHAR
PlayerStatistics,firstName,VARCHAR
PlayerStatistics,lastName,VARCHAR
PlayerStatistics,personId,BIGINT
PlayerStatistics,gameId,BIGINT
PlayerStatistics,gameDate,TIMESTAMP
PlayerStatistics,playerteamCity,VARCHAR
PlayerStatistics,playerteamName,VARCHAR
PlayerStatistics,opponentteamCity,VARCHAR
PlayerStatistics,opponentteamName,VARCHAR
PlayerStatistics,gameType,VARCHAR
PlayerStatistics,gameLabel,VARCHAR
PlayerStatistics,gameSubLabel,VARCHAR
PlayerStatistics,seriesGameNumber,DOUBLE
PlayerStatistics,win,BIGINT
PlayerStatistics,home,BIGINT
PlayerStatistics,numMinutes,DOUBLE
PlayerStatistics,points,DOUBLE
PlayerStatistics,assists,DOUBLE
PlayerStatistics,blocks,DOUBLE
PlayerStatistics,steals,DOUBLE
PlayerStatistics,fieldGoalsAttempted,DOUBLE
PlayerStatistics,fieldGoalsMade,DOUBLE
PlayerStatistics,fieldGoalsPercentage,DOUBLE
PlayerStatistics,threePointersAttempted,DOUBLE
PlayerStatistics,threePointersMade,DOUBLE
PlayerStatistics,threePointersPercentage,DOUBLE
PlayerStatistics,freeThrowsAttempted,DOUBLE
PlayerStatistics,freeThrowsMade,DOUBLE
PlayerStatistics,freeThrowsPercentage,DOUBLE
PlayerStatistics,reboundsDefensive,DOUBLE
PlayerStatistics,reboundsOffensive,DOUBLE
PlayerStatistics,reboundsTotal,DOUBLE
PlayerStatistics,foulsPersonal,DOUBLE
PlayerStatistics,turnovers,DOUBLE
PlayerStatistics,plusMinusPoints,DOUBLE
TeamStatistics,gameId,BIGINT
TeamStatistics,gameDate,TIMESTAMP
TeamStatistics,teamCity,VARCHAR
TeamStatistics,teamName,VARCHAR
TeamStatistics,teamId,BIGINT
TeamStatistics,opponentTeamCity,VARCHAR
TeamStatistics,opponentTeamName,VARCHAR
TeamStatistics,opponentTeamId,BIGINT
TeamStatistics,home,BIGINT
TeamStatistics,win,BIGINT
TeamStatistics,teamScore,BIGINT
TeamStatistics,opponentScore,BIGINT
TeamStatistics,assists,DOUBLE
TeamStatistics,blocks,DOUBLE
TeamStatistics,steals,DOUBLE
TeamStatistics,fieldGoalsAttempted,DOUBLE
TeamStatistics,fieldGoalsMade,DOUBLE
TeamStatistics,fieldGoalsPercentage,DOUBLE
TeamStatistics,threePointersAttempted,DOUBLE
TeamStatistics,threePointersMade,DOUBLE
TeamStatistics,threePointersPercentage,DOUBLE
TeamStatistics,freeThrowsAttempted,DOUBLE
TeamStatistics,freeThrowsMade,DOUBLE
TeamStatistics,freeThrowsPercentage,DOUBLE
TeamStatistics,reboundsDefensive,DOUBLE
TeamStatistics,reboundsOffensive,DOUBLE
TeamStatistics,reboundsTotal,DOUBLE
TeamStatistics,foulsPersonal,DOUBLE
TeamStatistics,turnovers,DOUBLE
TeamStatistics,plusMinusPoints,DOUBLE
TeamStatistics,numMinutes,DOUBLE
TeamStatistics,q1Points,DOUBLE
TeamStatistics,q2Points,DOUBLE
TeamStatistics,q3Points,DOUBLE
TeamStatistics,q4Points,DOUBLE
TeamStatistics,benchPoints,DOUBLE
TeamStatistics,biggestLead,DOUBLE
TeamStatistics,biggestScoringRun,DOUBLE
TeamStatistics,leadChanges,DOUBLE
TeamStatistics,pointsFastBreak,DOUBLE
TeamStatistics,pointsFromTurnovers,DOUBLE
TeamStatistics,pointsInThePaint,DOUBLE
TeamStatistics,pointsSecondChance,DOUBLE
TeamStatistics,timesTied,DOUBLE
TeamStatistics,timeoutsRemaining,DOUBLE
TeamStatistics,seasonWins,DOUBLE
TeamStatistics,seasonLosses,DOUBLE
TeamStatistics,coachId,VARCHAR
