combination,feature_names,order,value,feature_names_str
(),(),0,0.2908711115261618,baseline
"(2, 3)","('petal length (cm)', 'petal width (cm)')",2,0.24396377853550114,petal length (cm) x petal width (cm)
"(3,)","('petal width (cm)',)",1,0.19730590446039611,petal width (cm)
"(2,)","('petal length (cm)',)",1,0.1825302593935227,petal length (cm)
"(0,)","('sepal length (cm)',)",1,0.11211002111616612,sepal length (cm)
"(0, 2)","('sepal length (cm)', 'petal length (cm)')",2,0.08664115674366109,sepal length (cm) x petal length (cm)
"(1,)","('sepal width (cm)',)",1,0.05512545866539005,sepal width (cm)
"(0, 3)","('sepal length (cm)', 'petal width (cm)')",2,0.04558316031764949,sepal length (cm) x petal width (cm)
"(1, 2)","('sepal width (cm)', 'petal length (cm)')",2,0.03807962045722758,sepal width (cm) x petal length (cm)
"(1, 3)","('sepal width (cm)', 'petal width (cm)')",2,0.028436414218107667,sepal width (cm) x petal width (cm)
"(0, 1)","('sepal length (cm)', 'sepal width (cm)')",2,0.017632667048013383,sepal length (cm) x sepal width (cm)
